"","title","description","collection_identifier","persistent_identifier","persistent_url","project_identifier","organisational_unit","type","preservation_time","state","publisher","data_use agreement","ethical_approvals","free_keywords","sfn_keywords","mesh_keywords","version","associated_publications","associated_data","associated_analysis tools","associated_preregistrations","authors","managers","contributors","number_of files","size","quota","creation_date","last_update date","embargo_until","publication_date","archival_date","viewers_by dua","viewers_by manager","views","downloads","data_volume","viewers","downloaders","year"
"25","Stress in Motion","The prosody of a second language (L2) is notoriously difficult to acquire. It requires the mastery of a range of nested multimodal systems, including articulatory but also gestural signals, since hand gestures are produced in close synchrony with spoken prosody. It remains unclear how easily the articulatory and gestural systems acquire new prosodic patterns in the L2 and how the two systems interact, especially when L1 patterns interfere. This interdisciplinary pre-registered study investigates how Dutch learners of Spanish produce multimodal lexical stress in Spanish-Dutch cognates (e.g., Spanish profeSOR vs. Dutch proFESsor). Acoustic analyses assess whether gesturing helps L2 speakers to place stress on the correct syllable and whether gesturing boosts the acoustic correlates of stress through biomechanic coupling. Moreover, motion-tracking and time-series analyses test whether gesture-prosody synchrony is enhanced for stress-matching vs. stress-mismatching cognate pairs, perhaps revealing that gestural timing is biased in the L1 (or L2) direction (e.g., Spanish profeSOR with the gesture biased towards Dutch stressed syllable -fes). Thus, we will uncover how speakers deal with manual, articulatory, and cognitive constraints that need to be brought in harmony for efficient speech production, bearing implications for theories on gesture-speech interaction and multimodal L2 acquisition.","ru.cls.stress_in_motion_dsc_192","10.34973/bk02-af45","https://doi.org/10.34973/bk02-af45","stress_in_motion","CLS","Data Sharing Collection",10,"Editable","Radboud University","CC0-1.0",NA,"second language acquisition; prosody; lexical stress; gesture-speech coupling; gesture",NA,NA,0,NA,NA,NA,"URL: https://osf.io/7dj54","Bosker, H.R. (Hans Rutger); Hoetjes, M.W. (Marieke); Pouw, W.T.J.L. (Wim); Van Maastricht, L.","Van Maastricht, L.; Heuvel, H. van den (Henk)","Pouw, W.T.J.L. (Wim); Hoetjes, M.W.; Bosker, H.R.",3,802,5368709120,2023-07-06 07:01:30,2023-07-06 14:22:19,NA,NA,NA,0,0,10,0,0,6,0,2023
"26","A further look: Is syntactic priming  a plausible underlying mechanism for syntactic satiation?","This dataset belongs to the research master’s thesis titled A further look: Is syntactic priming a plausible underlying mechanism for syntactic satiation? and contains data from an online syntactic priming experiment in which participants alternated in reading sentences (primes) and producing written descriptions of pictures (targets) (Experiment 1) and an online acceptability judgment task in which participants judged the acceptability of primes and targets on a 7-point Likert scale (Experiment 2). These experiments were designed to investigate whether syntactic priming could be a plausible underlying mechanism for the syntactic satiation effect. While previous research has explored the possible relationship between the two phenomena through the lens of the variable and lesser understood syntactic satiation effect (Do & Kaiser, 2017), the present study looked at the possible link between priming and satiation through the lens of the more robust syntactic priming effect. This was achieved by using double-object (DO) datives that were combined with verbs of varying degrees of bias towards the prepositional object (PO) dative as our stimuli in these experiments. We compared whether priming and satiation are similarly sensitive to two factors that have previously been shown to modulate the strength of the syntactic priming effect: verb alternation bias and cumulative exposure (i.e., the number of prime structures a participant has encountered at any given point in the experiment). It was predicted that, if priming indeed is the mechanism underlying satiation, syntactic priming and syntactic satiation should be similarly sensitive to these factors.

The dataset contains coded target utterances (picture descriptions) that were produced in Experiment 1, as well as (standardized) Likert-scale acceptability data from Experiment 2. Codebooks explaining the meaning of variables are included in the dataset for both types of data. In addition, the dataset contains the data management plan (DMP) that was written before the start of the data collection, the approval from the ethics committee, the picture stimuli used in Experiment 1 and all R scripts that were used for data preprocessing and for the statistical analyses.","ru.cls.syntactic_satiation_priming_dac_116","10.34973/4v7n-bh64","https://doi.org/10.34973/4v7n-bh64","syntactic_satiation_priming","CLS","Data Acquisition Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Swart, P.J.F. de (Peter)","Sommer, M.J.N.",180,12335781,5368709120,2021-07-22 08:04:35,2022-05-16 09:26:56,NA,NA,NA,0,0,52,14,3033942,28,3,2021
"27","Syntactic Satiation and Syntactic Priming",NA,"ru.cls.syntactic_satiation_priming_rdc_670","10.34973/msdg-ta08","https://doi.org/10.34973/msdg-ta08","syntactic_satiation_priming","CLS","Research Documentation Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Swart, P.J.F. de (Peter)",NA,1,203,5368709120,2021-07-22 08:05:31,2021-10-08 08:54:10,NA,NA,NA,0,0,6,0,0,5,0,2021
"28","Stats and Structure: Their Presence and Role in the Peer Language Environment of Children with Developmental Language Disorder",NA,"ru.cls.stats_and_structure_rdc_456","10.34973/fhwr-9425","https://doi.org/10.34973/fhwr-9425","stats_and_structure","CLS","Research Documentation Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Lammertink, I.L.; Heuvel, H. van den (Henk)",NA,1,203,5368709120,2023-01-09 12:26:20,2023-01-09 12:26:23,NA,NA,NA,0,0,1,0,0,1,0,2023
"29","Stats and Structure: Their Presence and Role in the Peer Language Environment of Children with Developmental Language Disorder",NA,"ru.cls.stats_and_structure_dsc_445","10.34973/jfmd-n095","https://doi.org/10.34973/jfmd-n095","stats_and_structure","CLS","Data Sharing Collection",10,"Editable","Radboud University","CC0-1.0",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Lammertink, I.L.; Heuvel, H. van den (Henk)",NA,3,802,5368709120,2023-01-09 12:27:57,2023-01-09 12:28:01,NA,NA,NA,0,0,1,0,0,1,0,2023
"30","Stress in Motion",NA,"ru.cls.stress_in_motion_rdc_902","10.34973/t4sg-z426","https://doi.org/10.34973/t4sg-z426","stress_in_motion","CLS","Research Documentation Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Van Maastricht, L.","Pouw, W.T.J.L. (Wim); Hoetjes, M.W.; Bosker, H.R.",1,203,375809638400,2022-03-07 11:27:31,2022-11-14 09:29:05,NA,NA,NA,0,0,20,0,0,16,0,2022
"31","Syntactic alignment to different interlocutors",NA,"ru.cls.syntactic_alignment_dac_110","10.34973/beqk-x045","https://doi.org/10.34973/beqk-x045","syntactic_alignment","CLS","Data Acquisition Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Eijk, L.D.",NA,1,203,5368709120,2021-10-15 08:53:39,2021-10-15 08:53:43,NA,NA,NA,0,0,3,0,0,3,0,2021
"32","Syntactic alignment to different interlocutors",NA,"ru.cls.syntactic_alignment_rdc_374","10.34973/b6j3-6m03","https://doi.org/10.34973/b6j3-6m03","syntactic_alignment","CLS","Research Documentation Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Eijk, L.D.",NA,1,203,5368709120,2021-10-15 08:55:00,2021-10-15 08:55:03,NA,NA,NA,0,0,5,0,0,3,0,2021
"33","SignON - Sign Language Translation Mobile Application and Open Communications Framework",NA,"ru.cls.signon_dac_730","10.34973/zj8z-5c92","https://doi.org/10.34973/zj8z-5c92","signon","CLS","Data Acquisition Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Parikh, A.K.","Heuvel, H. van den (Henk)",1,203,5368709120,2021-10-15 08:20:45,2023-10-24 17:50:42,NA,NA,NA,0,0,13,1,203,6,1,2021
"34","SignON - Sign Language Translation Mobile Application and Open Communications Framework",NA,"ru.cls.signon_dsc_472","10.34973/jd7q-hq64","https://doi.org/10.34973/jd7q-hq64","signon","CLS","Data Sharing Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Parikh, A.K.",NA,3,797,5368709120,2021-10-15 08:22:18,2021-10-15 08:22:22,NA,NA,NA,0,0,11,2,571,8,2,2021
"35","SENTENCES: Social media analysis to promote cancer screening",NA,"ru.cls.sentences_social_media_analysis_dsc_823","10.34973/8g9f-6n88","https://doi.org/10.34973/8g9f-6n88","sentences_social_media_analysis","CLS","Data Sharing Collection",10,"Editable","Radboud University","CC0-1.0",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Stortenbeker, I.A.; Heuvel, H. van den (Henk)",NA,5,472033,5368709120,2023-03-13 14:48:08,2023-03-13 14:49:51,NA,NA,NA,0,0,3,0,0,3,0,2023
"36","SENTENCES: Social media analysis to promote cancer screening",NA,"ru.cls.sentences_social_media_analysis_rdc_487","10.34973/r7gg-p932","https://doi.org/10.34973/r7gg-p932","sentences_social_media_analysis","CLS","Research Documentation Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Stortenbeker, I.A.; Heuvel, H. van den (Henk)",NA,1,203,5368709120,2023-03-13 14:47:15,2023-03-13 14:47:19,NA,NA,NA,0,0,1,0,0,1,0,2023
"37","Stats and Structure: Their Presence and Role in the Peer Language Environment of Children with Developmental Language Disorder",NA,"ru.cls.stats_and_structure_dac_352","10.34973/9ap0-gn46","https://doi.org/10.34973/9ap0-gn46","stats_and_structure","CLS","Data Acquisition Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Lammertink, I.L.; Heuvel, H. van den (Henk)",NA,1,203,5368709120,2023-01-09 12:25:10,2023-01-09 12:25:14,NA,NA,NA,0,0,1,0,0,1,0,2023
"38","Social Interaction in Times of Climate Crisis",NA,"ru.cls.social_interaction_climate_crisis_rdc_118","10.34973/k5c3-rp48","https://doi.org/10.34973/k5c3-rp48","social_interaction_climate_crisis","CLS","Research Documentation Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Stommel, W.J.P. (Wyke); de Rijk, L.E.M.; Heuvel, H. van den (Henk); Dalmaijer, E. (Evi)",NA,1,203,5368709120,2023-11-22 08:24:22,2023-11-22 08:37:09,NA,NA,NA,0,0,6,0,0,5,0,2023
"39","Social Interaction in Times of Climate Crisis",NA,"ru.cls.social_interaction_climate_crisis_dac_540","10.34973/9mah-2781","https://doi.org/10.34973/9mah-2781","social_interaction_climate_crisis","CLS","Data Acquisition Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Stommel, W.J.P. (Wyke); de Rijk, L.E.M.; Heuvel, H. van den (Henk); Dalmaijer, E. (Evi)","Boeve, H.M. (Heske); Depping, V.L. (Vanja); Verschuuren, L.J.W. (Lieke); Göertz, P.H.P. (Pim)",6,6287995485,26843545600,2023-11-22 08:23:31,2024-03-22 08:59:13,NA,NA,NA,0,0,28,8,5930802370,20,7,2023
"40","Social Interaction in Times of Climate Crisis",NA,"ru.cls.social_interaction_climate_crisis_dsc_326","10.34973/nk94-3a81","https://doi.org/10.34973/nk94-3a81","social_interaction_climate_crisis","CLS","Data Sharing Collection",10,"Editable","Radboud University","CC0-1.0",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Stommel, W.J.P. (Wyke); de Rijk, L.E.M.; Heuvel, H. van den (Henk); Dalmaijer, E. (Evi)",NA,3,802,5368709120,2023-11-22 08:25:17,2023-11-22 08:36:43,NA,NA,NA,0,0,6,0,0,5,0,2023
"41","Rhythm and Dutch Plurals",NA,"ru.cls.rhythm_and_dutch_plurals_rdc_808","10.34973/qjsa-2q60","https://doi.org/10.34973/qjsa-2q60","rhythm_and_dutch_plurals","CLS","Research Documentation Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Zee, T.J. (Tim); Heuvel, H. van den (Henk); Ernestus, M.T.C.; Bosch, L.F.M. ten",NA,53,4292858513,5368709120,2023-06-15 07:28:05,2023-07-19 15:46:53,NA,NA,NA,0,0,19,0,0,14,0,2023
"42","Rhythm and Dutch Plurals",NA,"ru.cls.rhythm_and_dutch_plurals_dac_119","10.34973/tb94-0864","https://doi.org/10.34973/tb94-0864","rhythm_and_dutch_plurals","CLS","Data Acquisition Collection",10,"Editable","Radboud University",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,"Zee, T.J. (Tim); Heuvel, H. van den (Henk); Ernestus, M.T.C.; Bosch, L.F.M. ten",NA,15,137369720,5368709120,2023-06-15 07:24:37,2023-07-19 15:52:29,NA,NA,NA,0,0,8,0,0,7,0,2023
