PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Stommel, W; te Molder, H				Stommel, Wyke; te Molder, Hedwig			Empathically designed responses as a gateway to advice in Dutch counseling calls	DISCOURSE STUDIES			English	Article						Advice; conversation analysis; counseling; Dutch; empathy; helpline; institutional interaction	EMPATHY; TROUBLES	Previous conversation analytic studies of institutional interaction included analyses of empathy in interaction. These studies revealed that professionals may use empathy displays not only to validate the client's worry, but also to perform actions oriented to other institutional goals and tasks such as closing off a troubles-telling sequence. In this article, we present an analysis of empathically designed responses in Dutch telephone counseling. The data consist of 36 calls from the Alcohol and Drugs Info Line. In some of the calls, clients' troubles-telling includes emotion discourse', that is, descriptions of their feelings/emotions. Counselors may respond to these descriptions using conventional empathy displays like I can imagine that' and I understand that' in a range of verbal and prosodic variations. The analysis reveals that these responses open up advice sequences that vary in the extent to which they treat the client's articulated feelings as valid. Most are affiliating, treating the client's feelings as the basis for advice, while some are less affiliative, putting the client's feelings into perspective or implicitly questioning their legitimacy. Hence, empathically designed responses are pivots to advice-giving.	[Stommel, Wyke] Radboud Univ Nijmegen, Language & Commun, Nijmegen, Netherlands; [te Molder, Hedwig] Wageningen Univ & Res, Strateg Commun Grp, Wageningen, Netherlands; [te Molder, Hedwig] Univ Twente, Philosophy Dept, Enschede, Netherlands	Radboud University Nijmegen; Wageningen University & Research; University of Twente	Stommel, W (corresponding author), Radboud Univ Nijmegen, Ctr Language Studies, POB 9103, NL-6500 HD Nijmegen, Netherlands.	w.stommel@let.ru.nl		te Molder, Hedwig/0000-0002-0599-8338	Dutch Organization for Academic Research (Nederlandse Organisatie voor Wetenschappelijk Onderzoek) (NWO) program Comprehensive Language Use [BGRK-11-06]	Dutch Organization for Academic Research (Nederlandse Organisatie voor Wetenschappelijk Onderzoek) (NWO) program Comprehensive Language Use	The author(s) disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: This work was supported by the Dutch Organization for Academic Research (Nederlandse Organisatie voor Wetenschappelijk Onderzoek) (NWO) program Comprehensive Language Use (project BGRK-11-06).		27	15	17	0	5	SAGE PUBLICATIONS LTD	LONDON	1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND	1461-4456	1461-7080		DISCOURSE STUD	Discourse Stud.	AUG	2018	20	4					523	543		10.1177/1461445618754436	http://dx.doi.org/10.1177/1461445618754436			21	Communication	Social Science Citation Index (SSCI)	Communication	GO5DC	30443196	Green Published, hybrid			2024-03-22	WOS:000440037400004
J	Liebrecht, C; Hustinx, L; van Mulken, M				Liebrecht, Christine; Hustinx, Lettica; van Mulken, Margot			The Relative Power of Negativity: The Influence of Language Intensity on Perceived Strength	JOURNAL OF LANGUAGE AND SOCIAL PSYCHOLOGY			English	Article						polarity; language intensity; stylistics; Pollyanna principle; negativity bias; word-of-mouth	VERBAL AGGRESSIVENESS; IMPRESSION-FORMATION; MESSAGE; MODEL; NEWS	Negative utterances and words have been found to be stronger than positive utterances and words, but what happens if positive and negative utterances are intensified? Two online experiments were carried out in which participants judged the strength of (un)intensified positive and negative evaluations in written dialogues. Both studies showed intensified language was perceived as stronger than unmarked language (i.e., language that was not intensified), and negative evaluations were stronger than positive evaluations. What is more, intensification and polarity interact; the increment of perceived strength for intensified positive adjectives (Study 1) and purely intensified adverbs (really, very; Study 2) was bigger than the increment in perceived strength of intensified negative adjective and adverbs. When a meaningful intensifier (deliciously, disgustingly) was used, the negativity effect remained. The findings were discussed within cognitive frameworks such as relevance theory, theory of mind, and theory on verbal aggression.	[Liebrecht, Christine] Tilburg Univ, Tilburg Ctr Cognit & Commun, Tilburg, Netherlands; [Hustinx, Lettica] Radboud Univ Nijmegen, Ctr Language Studies, Nijmegen, Netherlands; [van Mulken, Margot] Radboud Univ Nijmegen, Ctr Language Studies, Int Business Commun, Nijmegen, Netherlands	Tilburg University; Radboud University Nijmegen; Radboud University Nijmegen	Liebrecht, C (corresponding author), Tilburg Univ, Dept Commun & Cognit, Warandelaan 2, NL-5037 AB Tilburg, Netherlands.	c.c.liebrecht@tilburguniversity.edu	Van+Mulken, Margot/GNW-3007-2022; Van Mulken, Margot/J-3567-2012	Van Mulken, Margot/0000-0002-0801-287X; Liebrecht, Christine/0000-0002-6621-2212					76	31	37	2	35	SAGE PUBLICATIONS INC	THOUSAND OAKS	2455 TELLER RD, THOUSAND OAKS, CA 91320 USA	0261-927X	1552-6526		J LANG SOC PSYCHOL	J. Lang. Soc. Psychol.	MAR	2019	38	2					170	193		10.1177/0261927X18808562	http://dx.doi.org/10.1177/0261927X18808562			24	Communication; Linguistics; Psychology, Social	Social Science Citation Index (SSCI)	Communication; Linguistics; Psychology	HJ8XD	30886450	Green Published, hybrid			2024-03-22	WOS:000457482500002
J	Huettig, F; Ferreira, F				Huettig, Falk; Ferreira, Fernanda			The Myth of Normal Reading	PERSPECTIVES ON PSYCHOLOGICAL SCIENCE			English	Article						dyslexia; literacy; reading; reading disorders	EYE-MOVEMENTS; AGE-DIFFERENCES; KNOWLEDGE	We argue that the educational and psychological sciences must embrace the diversity of reading rather than chase the phantom of normal reading behavior. We critically discuss the research practice of asking participants in experiments to read "normally." We then draw attention to the large cross-cultural and linguistic diversity around the world and consider the enormous diversity of reading situations and goals. Finally, we observe that people bring a huge diversity of brains and experiences to the reading task. This leads to four implications: First, there are important lessons for how to conduct psycholinguistic experiments; second, we need to move beyond Anglocentric reading research and produce models of reading that reflect the large cross-cultural diversity of languages and types of writing systems; third, we must acknowledge that there are multiple ways of reading and reasons for reading, and none of them is normal or better or a "gold standard"; and fourth, we must stop stigmatizing individuals who read differently and for different reasons, and there should be increased focus on teaching the ability to extract information relevant to the person's goals. What is important is not how well people decode written language and how fast people read but what people comprehend given their own stated goals.	[Huettig, Falk] Max Planck Inst Psycholinguist, Psychol Language Dept, Nijmegen, Netherlands; [Huettig, Falk] Radboud Univ Nijmegen, Dept Language & Commun, Nijmegen, Netherlands; [Ferreira, Fernanda] Univ Calif Davis, Dept Psychol, Davis, CA USA; [Huettig, Falk] Max Planck Inst Psycholinguist, Nijmegen, Netherlands	Max Planck Society; Radboud University Nijmegen; University of California System; University of California Davis; Max Planck Society	Huettig, F (corresponding author), Max Planck Inst Psycholinguist, Nijmegen, Netherlands.	falk.huettig@mpi.nl	Huettig, Falk/D-1991-2010	Huettig, Falk/0000-0001-9135-4178					49	2	2	3	7	SAGE PUBLICATIONS LTD	LONDON	1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND	1745-6916	1745-6924		PERSPECT PSYCHOL SCI	Perspect. Psychol. Sci.	JUL	2023	18	4					863	870		10.1177/17456916221127226	http://dx.doi.org/10.1177/17456916221127226		NOV 2022	8	Psychology, Multidisciplinary	Social Science Citation Index (SSCI)	Psychology	L4LM1	36355578	Green Published, hybrid			2024-03-22	WOS:000884341000001
J	Kristensen, SW; Cramer, J; McCollam, A; Reijnierse, WG; Smeets, I				Kristensen, Sanne Willemijn; Cramer, Julia; McCollam, Alix; Reijnierse, W. Gudrun; Smeets, Ionica			The matter of complex anti-matter: the portrayal and framing of physics in Dutch newspapers	JCOM-JOURNAL OF SCIENCE COMMUNICATION			English	Article						Representations of science and technology; Science and media	COVERAGE; SCIENCE; AGREEMENT	Physics is often perceived as difficult, but there has been little research on how physics is reported in the media. In this two-stage content analysis, we examine the portrayal of physics in five major Dutch newspapers. Results show that astronomy and astrophysics is the most prominent field. Furthermore, newspaper articles are triggered almost equally by scientific and non-scientific events. Finally, the majority of described physics concepts are framed as difficult, but journalists do provide explanations for them.	[Kristensen, Sanne Willemijn; McCollam, Alix] Radboud Univ Nijmegen, High Field Magnet Lab, Nijmegen, Netherlands; [Kristensen, Sanne Willemijn] Leiden Univ, Sci Commun Res, Leiden, Netherlands; [Cramer, Julia; Smeets, Ionica] Leiden Univ, Sci Commun, Leiden, Netherlands; [Reijnierse, W. Gudrun] Radboud Univ Nijmegen, Ctr Language Studies, Language Use & Persuas Commun, Nijmegen, Netherlands	Radboud University Nijmegen; Leiden University - Excl LUMC; Leiden University; Leiden University - Excl LUMC; Leiden University; Radboud University Nijmegen	Kristensen, SW (corresponding author), Radboud Univ Nijmegen, High Field Magnet Lab, Nijmegen, Netherlands.; Kristensen, SW (corresponding author), Leiden Univ, Sci Commun Res, Leiden, Netherlands.	sanne.kristensen@ru.nl; j.cramer@biology.leidenuniv.nl; a.mccollam@ru.nl; gudrun.reijnierse@ru.nl; i.smeets@biology.leidenuniv.nl	McCollam, Alix/F-9697-2015	Reijnierse, W. Gudrun/0000-0003-0147-2643					31	2	2	2	6	SCUOLA INT SUPERIORE STUDI AVANZATI-S I S S A-INT SCH ADVANCED STUDIES	TRIESTE	VIA BEIRUT 2-4, TRIESTE, 34014, ITALY	1824-2049			JCOM-J SCI COMMUN	JCOM-J. Sci. Commun.		2021	20	7							A02	10.22323/2.20070202	http://dx.doi.org/10.22323/2.20070202			19	Communication	Emerging Sources Citation Index (ESCI)	Communication	WV2EL		Green Submitted, gold			2024-03-22	WOS:000717050300001
J	Ischen, C; Meijers, MHC; Vandeberg, L; Smit, EG				Ischen, Carolin; Meijers, Marijn H. C.; Vandeberg, Lisa; Smit, Edith G.			Seen as Green? Assessing the Salience and Greenness of Environmentally Friendly Packaging Cues	JOURNAL OF FOOD PRODUCTS MARKETING			English	Article						Product packaging; eco-labeling; mouse tracking; green consumerism; sustainability; environmental friendliness	EYE-TRACKING; MOUSE-TRACKING; CONSUMER; ATTENTION; CHOICES; DESIGN; BRAND; SUSTAINABILITY; EXPLICIT; BEHAVIOR	Environmentally friendly products become increasingly popular. To be considered for purchase, they must be (1) sufficiently salient and (2) perceived as environmentally friendly ("green"). The current paper investigates whether implicit (packaging material) and explicit (eco-labeling) packaging cues can facilitate such salience and greenness perceptions. We conducted a mixed-method, within-subjects experiment using self-report measures to assess perceived greenness, and mouse tracking as an exploratory measurement method to assess salience. Finally, we explored whether green consumerism, as a personal value, moderates these effects. Results confirm that both implicit and explicit cues that signalize environmental friendliness positively influence perceived salience and greenness. Furthermore, we find that implicit and explicit cues seem mostly independent in affecting salience and greenness perceptions and that green consumerism is no prerequisite for most of these packaging effects to emerge. As such, this research provides important new theoretical and practical insights on the role of packaging in food marketing.	[Ischen, Carolin; Meijers, Marijn H. C.; Smit, Edith G.] Univ Amsterdam, Amsterdam Sch Commun Res, Dept Commun, POB 15791, NL-1001 NG Amsterdam, Netherlands; [Vandeberg, Lisa] Radboud Univ Nijmegen, Ctr Language Studies, Dept Language & Commun, Nijmegen, Netherlands; [Vandeberg, Lisa] Radboud Univ Nijmegen, Behav Sci Inst, Nijmegen, Netherlands	University of Amsterdam; Radboud University Nijmegen; Radboud University Nijmegen	Ischen, C (corresponding author), Univ Amsterdam, Amsterdam Sch Commun Res, Dept Commun, POB 15791, NL-1001 NG Amsterdam, Netherlands.	c.ischen@uva.nl	Vandeberg, Lisa/JXL-7229-2024	Smit, Edith/0000-0002-6913-4897; Vandeberg, Lisa/0000-0002-7229-2378; Ischen, Carolin/0000-0002-4135-1777					94	7	8	14	49	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND	1045-4446	1540-4102		J FOOD PROD MARK	J. Food Prod. Mark.	JAN 2	2022	28	1					31	48		10.1080/10454446.2022.2038757	http://dx.doi.org/10.1080/10454446.2022.2038757		FEB 2022	18	Business	Emerging Sources Citation Index (ESCI)	Business & Economics	ZK6OU		hybrid, Green Published			2024-03-22	WOS:000753753800001
J	Sliedrecht, KY; Stommel, W; Schep, E				Sliedrecht, Keun Young; Stommel, Wyke; Schep, Ellen			"Shared care" through instant messaging updates in youth care; an interaction analysis	QUALITATIVE SOCIAL WORK			English	Article						WhatsApp; foster care; youth care; updates; conversation analysis	FOSTER-CARE; WHATSAPP; ORGANIZATION	In this article, we analyse WhatsApp interactions in a youth care setting. In family-style group care, young people temporarily live in the family of professional foster parents (PFP), while they regularly visit their birth parents (BPs). Our data consist of instant messaging of 11 pairs of PFPs and BPs during 2 months. Using Conversation Analysis (CA), we focused on the social interaction between BPs and PFPs, achieved in and through multi-modally constructed sequences of updates-responses. First, updates are used by BPs in the context of the transfer from the child from/to the PFP marking the transfer of responsibility for the child. Second, PFPs use images as updates to provide BPs quasi-primary access to the experiences of the child. Third, updates are given or elicited in the context of prior problems. Across these functions, we observe that while BPs work to display responsibility, PFPs subtly empower BPs as parents.	[Sliedrecht, Keun Young] HAN, Res Grp Human Commun Dev, Laan van Scheut 10, NL-6802 EJ Nijmegen, Netherlands; [Stommel, Wyke] Radboud Univ Nijmegen, Dept Language & Commun, Nijmegen, Netherlands; [Schep, Ellen] Christelijke Hgsk Ede, Researcher Res Grp Youth & Family, Ede, Netherlands	Radboud University Nijmegen	Sliedrecht, KY (corresponding author), HAN, Res Grp Human Commun Dev, Laan van Scheut 10, NL-6802 EJ Nijmegen, Netherlands.	keunyoung.sliedrecht@han.nl			SIA (NWO) in the Netherlands	SIA (NWO) in the Netherlands	The author(s) disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: This work was partly supported by SIA (NWO) in the Netherlands.		43	1	1	0	4	SAGE PUBLICATIONS INC	THOUSAND OAKS	2455 TELLER RD, THOUSAND OAKS, CA 91320 USA	1473-3250	1741-3117		QUAL SOC WORK	Qual. Soc. Work	MAR	2024	23	2					314	329		10.1177/14733250221146739	http://dx.doi.org/10.1177/14733250221146739		DEC 2022	16	Social Work	Social Science Citation Index (SSCI)	Social Work	HE3G0					2024-03-22	WOS:000902990800001
J	Zora, H; Gussenhoven, C; Tremblay, A; Liu, F				Zora, Hatice; Gussenhoven, Carlos; Tremblay, Annie; Liu, Fang			Editorial: Crosstalk between intonation and lexical tones: Linguistic, cognitive and neuroscience perspectives	FRONTIERS IN PSYCHOLOGY			English	Editorial Material						prosody; intonation; lexical tone; categorical pitch; gradient pitch			[Zora, Hatice] Max Planck Inst Psycholinguist, Dept Neurobiol Language, Nijmegen, Netherlands; [Gussenhoven, Carlos] Natl Yang Ming Chiao Tung Univ, Dept Foreign Languages & Literatures, Hsinchu, Taiwan; [Gussenhoven, Carlos] Radboud Univ Nijmegen, Dept Language & Commun, Nijmegen, Netherlands; [Tremblay, Annie] Univ Kansas, Dept Linguist, Lawrence, KS USA; [Tremblay, Annie] Univ Texas El Paso, Dept Languages & Linguist, El Paso, TX USA; [Liu, Fang] Univ Reading, Sch Psychol & Clin Language Sci, Reading, England	Max Planck Society; National Yang Ming Chiao Tung University; Radboud University Nijmegen; University of Kansas; University of Texas System; University of Texas El Paso; University of Reading	Zora, H (corresponding author), Max Planck Inst Psycholinguist, Dept Neurobiol Language, Nijmegen, Netherlands.	hatice.zora@mpi.nl	Liu, Fang/AAJ-7344-2021	Liu, Fang/0000-0002-7776-0222	European Research Council (ERC) Starting Grant (CAASD);  [678733]	European Research Council (ERC) Starting Grant (CAASD)(European Research Council (ERC)); 	FL was supported by a European Research Council (ERC) Starting Grant (CAASD, 678733).		0	0	0	1	4	FRONTIERS MEDIA SA	LAUSANNE	AVENUE DU TRIBUNAL FEDERAL 34, LAUSANNE, CH-1015, SWITZERLAND	1664-1078			FRONT PSYCHOL	Front. Psychol.	DEC 8	2022	13								1101499	10.3389/fpsyg.2022.1101499	http://dx.doi.org/10.3389/fpsyg.2022.1101499			3	Psychology, Multidisciplinary	Social Science Citation Index (SSCI)	Psychology	7F9OS	36571024	gold, Green Published			2024-03-22	WOS:000902168100001
J	Fransen, ML; Mollen, S; Rains, SA; Das, E; Vermeulen, I				Fransen, Marieke L.; Mollen, Saar; Rains, Stephan A.; Das, Enny; Vermeulen, Ivar			Sixty Years Later A Replication Study of McGuire's First Inoculation Experiment	JOURNAL OF MEDIA PSYCHOLOGY-THEORIES METHODS AND APPLICATIONS			English	Article; Early Access						replication; inoculation theory; persuasion; resistance	RESISTANCE	Inoculation theory was introduced 60 years ago, after McGuire and Papageorgis (1961) published their first study on how resistance to persuasion can be induced. They demonstrated that people who are pre-exposed to weakened arguments against an attitude or position they currently hold (i.e., inoculated) are less affected by a subsequent strong counter-attitudinal message than people who are pre-exposed to arguments consistent with their attitude (i.e., supportive defense treatment) or to no arguments. Although these results significantly impacted both science and practice on a general level, rigid tests of the key theoretical propositions are lacking. We conducted a highly powered replication study (N = 679) and found that an inoculation treatment is more effective in increasing resistance toward persuasion compared to a supportive defense treatment and a no-treatment control condition. Our results were mostly consistent with McGuire and Papageorgis's original work.	[Fransen, Marieke L.] Radboud Univ Nijmegen, Behav Sci Inst, Dept Commun Sci, Nijmegen, Netherlands; [Mollen, Saar] Univ Amsterdam, Amsterdam Sch Commun Res ASCoR, Amsterdam, Netherlands; [Rains, Stephan A.] Univ Arizona, Dept Commun, Tucson, AZ USA; [Das, Enny] Radboud Univ Nijmegen, Ctr Language Studies, Dept Language & Commun, Nijmegen, Netherlands; [Vermeulen, Ivar] Vrije Univ Amsterdam, Commun Sci, Amsterdam, Netherlands; [Fransen, Marieke L.] Radboud Univ Nijmegen, Behav Sci Inst, Dept Commun Sci, Nijmegen, Netherlands	Radboud University Nijmegen; University of Amsterdam; University of Arizona; Radboud University Nijmegen; Vrije Universiteit Amsterdam; Radboud University Nijmegen	Fransen, ML (corresponding author), Radboud Univ Nijmegen, Behav Sci Inst, Dept Commun Sci, Nijmegen, Netherlands.	marieke.fransen@ru.nl		Fransen, Marieke/0000-0003-3399-5932	We would like to thank Rhanna Haverkort for her help with writing the messages on investments in education and Bieke Helwegen, Leonie Dudda, and Jiska Eelen for assistance with data collection.	We would like to thank Rhanna Haverkort for her help with writing the messages on investments in education and Bieke Helwegen, Leonie Dudda, and Jiska Eelen for assistance with data collection.	We would like to thank Rhanna Haverkort for her help with writing the messages on investments in education and Bieke Helwegen, Leonie Dudda, and Jiska Eelen for assistance with data collection.		24	0	0	3	3	HOGREFE PUBLISHING CORP	BOSTON	361 NEWBURY ST, 5 FL, BOSTON, MA, UNITED STATES	1864-1105	2151-2388		J MEDIA PSYCHOL-GER	J. Media Psychol.	2023 SEP 13	2023										10.1027/1864-1105/a000396	http://dx.doi.org/10.1027/1864-1105/a000396		SEP 2023	10	Communication; Psychology, Multidisciplinary	Social Science Citation Index (SSCI)	Communication; Psychology	R5NL4					2024-03-22	WOS:001064817100001
J	Ruiter, MB; Otters, MC; Piai, V; Lotgering, EAM; Theunissen, JEMC; Rietveld, TCM				Ruiter, Marina B.; Otters, Mirjam C.; Piai, Vitoria; Lotgering, Erica A. M.; Theunissen, Julie E. M. C.; Rietveld, Toni C. M.			A transcription-less quantitative analysis of aphasic discourse elicited with an adapted version of the Amsterdam-Nijmegen Everyday Language Test (ANELT)	APHASIOLOGY			English	Article						aphasia; functional communication; transcription-less discourse analysis; ANELT	RELIABILITY	Background For speakers with mild to moderate expressive aphasia the ultimate goal of aphasia therapy is to improve verbal functional communication, which may be assessed with the Amsterdam-Nijmegen Test for Everyday Language (ANELT; Blomert et al., 1995). The ANELT is based on a qualitative and transcription-less method of analysis: the scoring is based on personal judgement and directly made from the recording of the test. Previous research (Ruiter et al., 2011) has shown that a quantitative measure for the ANELT not only allows verbal effectiveness (i.e., the amount of essential information conveyed) to be measured more sensitively, but also allows derivation of a measure of verbal efficiency (i.e., average amount of essential information produced per time unit). Although the quantitative scoring further improved the construct validity of the ANELT, there is a limitation that hinders its clinical application: the quantitative measure requires orthographic transcription of the spoken responses to the test. That is, the quantitative scoring is transcription-based. Aims In order to work towards clinical applicability of the quantitative measure of the ANELT, this study addressed the potential of a transcription-less variant of the quantitative analysis, in which the amount of essential information is directly quantified on the basis of recording, as a valid and reliable procedure for the measurement of verbal effectiveness. Methods & Procedures A total of 56 speakers of Dutch participated: 31 neurologically healthy speakers and 25 persons with aphasia. Monologic discourse elicited with 10 scenarios from an adapted version of the ANELT (Ruiter et al., 2016) was analysed with both a transcription-based quantitative method and a transcription-less quantitative one. Resulting data were systematically compared on the following psychometric properties: internal consistency, inter-rater reliability, construct validity, convergent validity, and known-group validity. Outcomes & Results Internal consistency and inter-rater reliability were good and comparable between both scoring methods. Only for one scenario did the transcription-based scoring method yield higher agreement among the raters. With respect to validity, both scoring methods seem to yield measures of the same underlying constructs, show a strong and positive correlation, and allow differentiation between persons with and without aphasia. Conclusions Although future research is needed to develop norm scores and investigate other psychometric properties, the result from the comparison demonstrated the potential of the transcription-less quantitative method as a valid and reliable method to analyse monologic discourse elicited with the adapted ANELT.	[Ruiter, Marina B.; Rietveld, Toni C. M.] Radboud Univ Nijmegen, Ctr Language Studies, POB 9103, NL-6500 HD Nijmegen, Netherlands; [Otters, Mirjam C.] Ziekenhuis Rivierenland, Tiel, Netherlands; [Otters, Mirjam C.] Boogh Afasiectr, Veenendaal, Netherlands; [Piai, Vitoria] Radboud Univ Nijmegen, Ctr Cognit, Donders Inst Brain Cognit & Behav, Nijmegen, Netherlands; [Piai, Vitoria] Radboud Univ Nijmegen, Ctr Med Neurosci, Donders Inst Brain Cognit & Behav, Dept Med Psychol,Med Ctr, Nijmegen, Netherlands; [Lotgering, Erica A. M.] HagaZiekenhuis, Dept Internal Med & Geriatr Med, The Hague, Netherlands; [Theunissen, Julie E. M. C.] Radboud Univ Nijmegen, Dept Language & Commun, Nijmegen, Netherlands	Radboud University Nijmegen; Radboud University Nijmegen; Radboud University Nijmegen; Haga Hospital; Radboud University Nijmegen	Ruiter, MB (corresponding author), Radboud Univ Nijmegen, Ctr Language Studies, POB 9103, NL-6500 HD Nijmegen, Netherlands.	marina.ruiter@ru.nl	Ruiter, Marina B./J-3128-2016; Piai, Vitória/D-5777-2012	Piai, Vitória/0000-0002-4860-5952	Dutch Research Council (NWO) [451-17-003]; Centre of LanguageStudies (Radboud University) [RG2020-12]	Dutch Research Council (NWO)(Netherlands Organization for Scientific Research (NWO)); Centre of LanguageStudies (Radboud University)	The 'Language in the brain, from left to right' study was supported by the Dutch Research Council (NWO) under Grant 451-17-003; The 'SimpTell' study was supported by the Centre of LanguageStudies (Radboud University) under Grant RG2020-12.		40	0	0	0	2	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND	0268-7038	1464-5041		APHASIOLOGY	Aphasiology	OCT 3	2023	37	10					1556	1575		10.1080/02687038.2022.2109124	http://dx.doi.org/10.1080/02687038.2022.2109124		AUG 2022	20	Audiology & Speech-Language Pathology; Linguistics; Clinical Neurology; Rehabilitation	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Audiology & Speech-Language Pathology; Linguistics; Neurosciences & Neurology; Rehabilitation	P1NK7		Green Published, hybrid			2024-03-22	WOS:000842286300001
J	Cartier, E; Onysko, A; Winter-Froemel, E; Zenner, E; Andersen, G; Hilberink-Schulpen, B; Nederstigt, U; Peterson, E; van Meurs, F				Cartier, Emmanuel; Onysko, Alexander; Winter-Froemel, Esme; Zenner, Eline; Andersen, Gisle; Hilberink-Schulpen, Beryl; Nederstigt, Ulrike; Peterson, Elizabeth; van Meurs, Frank			Linguistic repercussions of COVID-19: A corpus study on four languages	OPEN LINGUISTICS			English	Article						COVID-19; French; English; Dutch; German; collocates; semantic categorization; pandemic discourse	FIGHTING COVID-19	The global reach of the COVID-19 pandemic and the ensuing localized policy reactions provides a case to uncover how a global crisis translates into linguistic discourse. Based on the JSI Timestamped Web Corpora that are automatically POS-tagged and accessible via SketchEngine, this study compares French, German, Dutch, and English. After identifying the main names used to denote the virus and its disease, we extracted a total of 1,697 associated terms (according to logDice values) retrieved from news media data from January through October 2020. These associated words were then organized into categories describing the properties of the virus and the disease, their spatio-temporal features and their cause-effect dependencies. Analyzing the output cross-linguistically and across the first 10 months of the pandemic, a fairly stable semantic discourse space is found within and across each of the four languages, with an overall clear preference for visual and biomedical features as associated terms, though significant diatopic and diachronic shifts in the discourse space are also attested.	[Onysko, Alexander] Univ Klagenfurt, Dept English, A-9020 Klagenfurt, Austria; [Cartier, Emmanuel] Univ Sorbonne 13 Paris Nord, Dept Linguist, Paris, France; [Winter-Froemel, Esme] Univ Wurzburg, Neuphilol Inst Romanist, Wurzburg, Germany; [Zenner, Eline] Katholieke Univ Leuven, Quantitat Lexicol & Variat Linguist, Leuven, Belgium; [Andersen, Gisle] Norges Handelshogskole, Dept Profess & Intercultural Commun, Bergen, Norway; [Hilberink-Schulpen, Beryl; Nederstigt, Ulrike; van Meurs, Frank] Radboud Univ Nijmegen, Dept Language & Commun, Nijmegen, Netherlands; [Peterson, Elizabeth] Univ Helsinki, Dept Languages, Helsinki, Finland	University of Klagenfurt; University of Wurzburg; KU Leuven; Norwegian School of Economics (NHH); Radboud University Nijmegen; University of Helsinki	Onysko, A (corresponding author), Univ Klagenfurt, Dept English, A-9020 Klagenfurt, Austria.	Alexander.Onysko@aau.at		Zenner, Eline/0000-0002-8114-5425; Peterson, Elizabeth/0000-0002-6057-1804; Winter-Froemel, Esme/0000-0003-3437-8864	University of Klagenfurt	University of Klagenfurt	The authors gratefully acknowledge the open access funding provided by the University of Klagenfurt.		48	0	0	1	3	DE GRUYTER POLAND SP Z O O	WARSAW	BOGUMILA ZUGA 32A STR, 01-811 WARSAW, MAZOVIA, POLAND	2300-9969			OPEN LINGUIST	Open Linguist.	DEC 5	2022	8	1					751	766		10.1515/opli-2022-0222	http://dx.doi.org/10.1515/opli-2022-0222			16	Linguistics	Emerging Sources Citation Index (ESCI)	Linguistics	6W0MC		Green Published, gold			2024-03-22	WOS:000895429000001
