doi,best_oa_evidence,best_oa_host,best_oa_license,best_oa_url,best_oa_url_is_pdf,best_oa_version,data_standard,doi_url,genre,is_oa,is_paratext,journal_is_in_doaj,journal_is_oa,journal_issn_l,journal_issns,journal_name,oa_status,published_date,publisher,year,oa_status_d
10.34973/grr8-0635,NA,NA,NA,NA,FALSE,NA,1,https://doi.org/10.34973/grr8-0635,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
10.5281/zenodo.7990536,NA,NA,NA,NA,FALSE,NA,1,https://doi.org/10.5281/zenodo.7990536,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
10.34973/jwwq-p517,NA,NA,NA,NA,FALSE,NA,1,https://doi.org/10.34973/jwwq-p517,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
10.1080/08961530.2023.2215472,open (via crossref license),publisher,cc-by,https://www.tandfonline.com/doi/pdf/10.1080/08961530.2023.2215472?needAccess=true&role=button,TRUE,publishedVersion,2,https://doi.org/10.1080/08961530.2023.2215472,journal-article,TRUE,FALSE,FALSE,FALSE,0896-1530,"0896-1530,1528-7068",Journal of International Consumer Marketing,hybrid,2023-06-05,Informa UK Limited,2023,hybrid
10.1080/17588928.2023.2181321,NA,NA,NA,NA,FALSE,NA,2,https://doi.org/10.1080/17588928.2023.2181321,journal-article,FALSE,FALSE,FALSE,FALSE,1758-8936,"1758-8928,1758-8936",Cognitive Neuroscience,closed,2023-02-23,Informa UK Limited,2023,closed
10.3389/feduc.2023.1242708,oa journal (via doaj),publisher,cc-by,https://www.frontiersin.org/articles/10.3389/feduc.2023.1242708/pdf?isPublishedV2=False,TRUE,publishedVersion,2,https://doi.org/10.3389/feduc.2023.1242708,journal-article,TRUE,FALSE,TRUE,TRUE,2504-284X,2504-284X,Frontiers in Education,gold,2023-12-08,Frontiers Media SA,2023,gold
10.1075/lab.23009.kou,open (via page says license),publisher,cc-by,https://www.jbe-platform.com/deliver/fulltext/10.1075/lab.23009.kou/lab.23009.kou.pdf?itemId=%2Fcontent%2Fjournals%2F10.1075%2Flab.23009.kou&mimeType=pdf&containerItemId=content/jbep,TRUE,publishedVersion,2,https://doi.org/10.1075/lab.23009.kou,journal-article,TRUE,FALSE,FALSE,FALSE,1879-9264,"1879-9264,1879-9272",Linguistic Approaches to Bilingualism,hybrid,2023-10-20,John Benjamins Publishing Company,2023,hybrid
10.1016/j.esp.2023.02.011,open (via crossref license),publisher,cc-by,https://doi.org/10.1016/j.esp.2023.02.011,TRUE,publishedVersion,2,https://doi.org/10.1016/j.esp.2023.02.011,journal-article,TRUE,FALSE,FALSE,FALSE,0889-4906,0889-4906,English for Specific Purposes,hybrid,2023-07-01,Elsevier BV,2023,hybrid
10.1177/00238309221111752,oa repository (via OAI-PMH doi match),repository,NA,https://repository.ubn.ru.nl//bitstream/handle/2066/290277/290277.pdf,TRUE,publishedVersion,2,https://doi.org/10.1177/00238309221111752,journal-article,TRUE,FALSE,FALSE,FALSE,0023-8309,"0023-8309,1756-6053",Language and Speech,green,2022-08-24,SAGE Publications,2022,green
10.3389/fcomm.2023.1266813,oa journal (via doaj),publisher,cc-by,https://www.frontiersin.org/articles/10.3389/fcomm.2023.1266813/pdf?isPublishedV2=False,TRUE,publishedVersion,2,https://doi.org/10.3389/fcomm.2023.1266813,journal-article,TRUE,FALSE,TRUE,TRUE,2297-900X,2297-900X,Frontiers in Communication,gold,2023-10-26,Frontiers Media SA,2023,gold
10.1093/chemse/bjad020,oa repository (via OAI-PMH doi match),repository,cc-by-nc-nd,https://repository.ubn.ru.nl//bitstream/handle/2066/292134/292134.pdf,TRUE,publishedVersion,2,https://doi.org/10.1093/chemse/bjad020,journal-article,TRUE,FALSE,FALSE,FALSE,0379-864X,"0379-864X,1464-3553",Chemical Senses,green,2023-01-01,Oxford University Press (OUP),2023,green
10.1017/s136672892300055x,open (via page says license),publisher,cc-by,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/A2F584E3417BAC54F61F1D7FEB13F3D1/S136672892300055Xa.pdf/div-class-title-cross-linguistic-influence-in-the-simultaneous-bilingual-child-s-lexicon-an-eye-tracking-and-primed-picture-selection-study-div.pdf,TRUE,publishedVersion,2,https://doi.org/10.1017/s136672892300055x,journal-article,TRUE,FALSE,FALSE,FALSE,1366-7289,"1366-7289,1469-1841",Bilingualism: Language and Cognition,hybrid,2023-08-15,Cambridge University Press (CUP),2023,hybrid
10.1177/23294884231199088,open (via page says license),publisher,cc-by,https://journals.sagepub.com/doi/pdf/10.1177/23294884231199088,TRUE,publishedVersion,2,https://doi.org/10.1177/23294884231199088,journal-article,TRUE,FALSE,FALSE,FALSE,2329-4884,"2329-4884,2329-4892",International Journal of Business Communication,hybrid,2023-09-16,SAGE Publications,2023,hybrid
10.4000/corela.15671,oa journal (via doaj),publisher,cc-by-nc-sa,https://doi.org/10.4000/corela.15671,TRUE,publishedVersion,2,https://doi.org/10.4000/corela.15671,journal-article,TRUE,FALSE,TRUE,TRUE,1638-573X,1638-573X,Corela,gold,2023-03-05,OpenEdition,2023,diamond
10.1017/s0305000922000745,open (via page says license),publisher,cc-by,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/52ACAE5DB5926C985F639EA46C63CF90/S0305000922000745a.pdf/div-class-title-development-of-sign-phonology-in-kata-kolok-div.pdf,TRUE,publishedVersion,2,https://doi.org/10.1017/s0305000922000745,journal-article,TRUE,FALSE,FALSE,FALSE,0305-0009,"0305-0009,1469-7602",Journal of Child Language,hybrid,2023-03-09,Cambridge University Press (CUP),2023,hybrid
10.1044/2023_jslhr-23-00076,NA,NA,NA,NA,FALSE,NA,2,https://doi.org/10.1044/2023_jslhr-23-00076,journal-article,FALSE,FALSE,FALSE,FALSE,1092-4388,"1092-4388,1558-9102","Journal of Speech, Language, and Hearing Research",closed,2023-07-26,American Speech Language Hearing Association,2023,closed
10.1016/j.cortex.2023.01.014,open (via crossref license),publisher,cc-by,https://doi.org/10.1016/j.cortex.2023.01.014,TRUE,publishedVersion,2,https://doi.org/10.1016/j.cortex.2023.01.014,journal-article,TRUE,FALSE,FALSE,FALSE,0010-9452,0010-9452,Cortex,hybrid,2023-05-01,Elsevier BV,2023,hybrid
10.1177/14648849221149557,open (via page says license),publisher,cc-by-nc,https://doi.org/10.1177/14648849221149557,TRUE,publishedVersion,2,https://doi.org/10.1177/14648849221149557,journal-article,TRUE,FALSE,FALSE,FALSE,1464-8849,"1464-8849,1741-3001",Journalism,hybrid,2023-01-03,SAGE Publications,2023,hybrid
10.34973/hrax-yn39,NA,NA,NA,NA,FALSE,NA,1,https://doi.org/10.34973/hrax-yn39,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
10.21437/slate.2023-11,NA,NA,NA,NA,FALSE,NA,2,https://doi.org/10.21437/slate.2023-11,proceedings-article,FALSE,FALSE,FALSE,FALSE,NA,NA,9th Workshop on Speech and Language Technology in Education (SLaTE),closed,2023-08-18,ISCA,2023,diamond
10.1109/icasspw59220.2023.10193484,oa repository (via OAI-PMH doi match),repository,NA,https://repository.ubn.ru.nl/bitstream/handle/2066/295474/1/295474.pdf,TRUE,publishedVersion,2,https://doi.org/10.1109/icasspw59220.2023.10193484,proceedings-article,TRUE,FALSE,FALSE,FALSE,NA,NA,"2023 IEEE International Conference on Acoustics, Speech, and Signal Processing Workshops (ICASSPW)",green,2023-06-04,IEEE,2023,green
10.1016/j.cognition.2023.105571,open (via crossref license),publisher,cc-by,https://doi.org/10.1016/j.cognition.2023.105571,TRUE,publishedVersion,2,https://doi.org/10.1016/j.cognition.2023.105571,journal-article,TRUE,FALSE,FALSE,FALSE,0010-0277,0010-0277,Cognition,hybrid,2023-10-01,Elsevier BV,2023,hybrid
10.1017/langcog.2023.30,open (via page says license),publisher,cc-by-nc,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/C1CA7C3A90386DEDAE81865FACFF8BDC/S1866980823000303a.pdf/div-class-title-does-reading-about-fictional-minds-make-us-more-curious-about-real-ones-div.pdf,TRUE,publishedVersion,2,https://doi.org/10.1017/langcog.2023.30,journal-article,TRUE,FALSE,FALSE,FALSE,1866-9808,"1866-9808,1866-9859",Language and Cognition,hybrid,2023-07-24,Cambridge University Press (CUP),2023,hybrid
10.34973/spe7-1542,NA,NA,NA,NA,FALSE,NA,1,https://doi.org/10.34973/spe7-1542,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
10.16995/glossa.9246,oa journal (via doaj),publisher,cc-by,https://doi.org/10.16995/glossa.9246,TRUE,publishedVersion,2,https://doi.org/10.16995/glossa.9246,journal-article,TRUE,FALSE,TRUE,TRUE,2397-1835,2397-1835,Volume 8,gold,2023-09-05,Open Library of the Humanities,2023,diamond
10.1111/1460-6984.12983,open (via crossref license),publisher,cc-by,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1460-6984.12983,TRUE,publishedVersion,2,https://doi.org/10.1111/1460-6984.12983,journal-article,TRUE,FALSE,FALSE,FALSE,1368-2822,"1368-2822,1460-6984",International Journal of Language &amp; Communication Disorders,hybrid,2023-11-14,Wiley,2023,hybrid
10.3758/s13415-023-01074-8,open (via crossref license),publisher,cc-by,https://link.springer.com/content/pdf/10.3758/s13415-023-01074-8.pdf,TRUE,publishedVersion,2,https://doi.org/10.3758/s13415-023-01074-8,journal-article,TRUE,FALSE,FALSE,FALSE,1530-7026,"1530-7026,1531-135X","Cognitive, Affective, &amp; Behavioral Neuroscience",hybrid,2023-02-23,Springer Science and Business Media LLC,2023,hybrid
10.1145/3571884.3604301,NA,NA,NA,NA,FALSE,NA,2,https://doi.org/10.1145/3571884.3604301,proceedings-article,FALSE,FALSE,FALSE,FALSE,NA,NA,Proceedings of the 5th International Conference on Conversational User Interfaces,closed,2023-07-19,ACM,2023,closed
10.1080/02699931.2023.2216445,open (via crossref license),publisher,cc-by,https://www.tandfonline.com/doi/pdf/10.1080/02699931.2023.2216445?needAccess=true&role=button,TRUE,publishedVersion,2,https://doi.org/10.1080/02699931.2023.2216445,journal-article,TRUE,FALSE,FALSE,FALSE,0269-9931,"0269-9931,1464-0600",Cognition and Emotion,hybrid,2023-05-26,Informa UK Limited,2023,hybrid
10.5220/0011975100003470,open (via page says license),publisher,cc-by-nc-nd,https://doi.org/10.5220/0011975100003470,TRUE,publishedVersion,2,https://doi.org/10.5220/0011975100003470,proceedings-article,TRUE,FALSE,FALSE,FALSE,NA,NA,Proceedings of the 15th International Conference on Computer Supported Education,hybrid,2023-01-01,SCITEPRESS - Science and Technology Publications,2023,hybrid
10.21437/slate.2023-13,oa repository (via OAI-PMH doi match),repository,public-domain,https://repository.ubn.ru.nl/bitstream/handle/2066/301820/1/301820.pdf,TRUE,submittedVersion,2,https://doi.org/10.21437/slate.2023-13,proceedings-article,TRUE,FALSE,FALSE,FALSE,NA,NA,9th Workshop on Speech and Language Technology in Education (SLaTE),green,2023-08-18,ISCA,2023,diamond
10.34973/g18a-bk09,NA,NA,NA,NA,FALSE,NA,1,https://doi.org/10.34973/g18a-bk09,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
10.1080/0163853x.2023.2206773,open (via crossref license),publisher,cc-by,https://www.tandfonline.com/doi/pdf/10.1080/0163853X.2023.2206773?needAccess=true&role=button,TRUE,publishedVersion,2,https://doi.org/10.1080/0163853x.2023.2206773,journal-article,TRUE,FALSE,FALSE,FALSE,0163-853X,"0163-853X,1532-6950",Discourse Processes,hybrid,2023-05-17,Informa UK Limited,2023,hybrid
10.21437/slate.2023-4,NA,NA,NA,NA,FALSE,NA,2,https://doi.org/10.21437/slate.2023-4,proceedings-article,FALSE,FALSE,FALSE,FALSE,NA,NA,9th Workshop on Speech and Language Technology in Education (SLaTE),closed,2023-08-18,ISCA,2023,diamond
10.3389/fcomm.2022.1113441,oa journal (via doaj),publisher,cc-by,https://doi.org/10.3389/fcomm.2022.1113441,TRUE,publishedVersion,2,https://doi.org/10.3389/fcomm.2022.1113441,journal-article,TRUE,FALSE,TRUE,TRUE,2297-900X,2297-900X,Frontiers in Communication,gold,2023-01-09,Frontiers Media SA,2023,gold
10.14428/esann/2023.es2023-138,open (via free pdf),publisher,NA,https://doi.org/10.14428/esann/2023.es2023-138,TRUE,publishedVersion,2,https://doi.org/10.14428/esann/2023.es2023-138,proceedings-article,TRUE,FALSE,FALSE,FALSE,NA,NA,ESANN 2023 proceesdings,bronze,2023-01-01,Ciaco - i6doc.com,2023,bronze
10.1515/flin-2023-2018,open (via page says license),publisher,cc-by,https://www.degruyter.com/document/doi/10.1515/flin-2023-2018/pdf,TRUE,publishedVersion,2,https://doi.org/10.1515/flin-2023-2018,journal-article,TRUE,FALSE,FALSE,FALSE,0165-4004,"0165-4004,1614-7308",Folia Linguistica,hybrid,2023-05-10,Walter de Gruyter GmbH,2023,hybrid
10.1057/s41267-023-00639-6,open (via crossref license),publisher,cc-by,https://link.springer.com/content/pdf/10.1057/s41267-023-00639-6.pdf,TRUE,publishedVersion,2,https://doi.org/10.1057/s41267-023-00639-6,journal-article,TRUE,FALSE,FALSE,FALSE,0047-2506,"0047-2506,1478-6990",Journal of International Business Studies,hybrid,2023-07-21,Springer Science and Business Media LLC,2023,hybrid
10.1017/langcog.2023.40,oa journal (via doaj),publisher,cc-by-nc-nd,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/88A19740AE09E6299B9836158053B57F/S1866980823000406a.pdf/div-class-title-gender-is-conceptualized-in-different-ways-across-cultures-div.pdf,TRUE,publishedVersion,2,https://doi.org/10.1017/langcog.2023.40,journal-article,TRUE,FALSE,TRUE,TRUE,1866-9808,"1866-9808,1866-9859",Language and Cognition,gold,2023-09-04,Cambridge University Press (CUP),2023,gold
10.1038/s44271-023-00041-w,open (via crossref license),publisher,cc-by,https://www.nature.com/articles/s44271-023-00041-w.pdf,TRUE,publishedVersion,2,https://doi.org/10.1038/s44271-023-00041-w,journal-article,TRUE,FALSE,FALSE,FALSE,2731-9121,2731-9121,Communications Psychology,hybrid,2023-12-11,Springer Science and Business Media LLC,2023,hybrid
10.1080/10573569.2023.2181246,NA,NA,NA,NA,FALSE,NA,2,https://doi.org/10.1080/10573569.2023.2181246,journal-article,FALSE,FALSE,FALSE,FALSE,1057-3569,"1057-3569,1521-0693",Reading &amp; Writing Quarterly,closed,2023-03-02,Informa UK Limited,2023,closed
10.3389/fcomm.2023.1205883,oa journal (via doaj),publisher,cc-by,https://www.frontiersin.org/articles/10.3389/fcomm.2023.1205883/pdf?isPublishedV2=False,TRUE,publishedVersion,2,https://doi.org/10.3389/fcomm.2023.1205883,journal-article,TRUE,FALSE,TRUE,TRUE,2297-900X,2297-900X,Frontiers in Communication,gold,2023-10-26,Frontiers Media SA,2023,gold
10.12688/mep.19693.1,NA,NA,NA,NA,FALSE,NA,2,https://doi.org/10.12688/mep.19693.1,journal-article,FALSE,FALSE,FALSE,FALSE,2312-7996,2312-7996,MedEdPublish,closed,2023-07-19,F1000 Research Ltd,2023,closed
10.1145/3571884.3604404,oa repository (via OAI-PMH doi match),repository,NA,https://repository.ubn.ru.nl/bitstream/handle/2066/296306/1/296306.pdf,TRUE,publishedVersion,2,https://doi.org/10.1145/3571884.3604404,proceedings-article,TRUE,FALSE,FALSE,FALSE,NA,NA,Proceedings of the 5th International Conference on Conversational User Interfaces,green,2023-07-19,ACM,2023,green
10.1111/cogs.13268,open (via crossref license),publisher,cc-by,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/cogs.13268,TRUE,publishedVersion,2,https://doi.org/10.1111/cogs.13268,journal-article,TRUE,FALSE,FALSE,FALSE,0364-0213,"0364-0213,1551-6709",Cognitive Science,hybrid,2023-04-01,Wiley,2023,hybrid
10.3758/s13428-023-02112-6,oa repository (via OAI-PMH doi match),repository,NA,https://repository.ubn.ru.nl//bitstream/handle/2066/294728/294728.pdf,TRUE,publishedVersion,2,https://doi.org/10.3758/s13428-023-02112-6,journal-article,TRUE,FALSE,FALSE,FALSE,1554-351X,1554-3528,Behavior Research Methods,green,2023-04-20,Springer Science and Business Media LLC,2023,green
10.5117/tvt2022.3.001.smit,open (via page says license),publisher,cc-by-nc-nd,https://doi.org/10.5117/tvt2022.3.001.smit,TRUE,publishedVersion,2,https://doi.org/10.5117/tvt2022.3.001.smit,journal-article,TRUE,FALSE,FALSE,TRUE,1573-9775,"1573-9775,2352-1236",Tijdschrift voor Taalbeheersing,gold,2022-12-01,Amsterdam University Press,2022,diamond
10.34973/kj1t-4s24,NA,NA,NA,NA,FALSE,NA,1,https://doi.org/10.34973/kj1t-4s24,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.stueduc.2023.101248,open (via crossref license),publisher,cc-by,https://doi.org/10.1016/j.stueduc.2023.101248,TRUE,publishedVersion,2,https://doi.org/10.1016/j.stueduc.2023.101248,journal-article,TRUE,FALSE,FALSE,FALSE,0191-491X,0191-491X,Studies in Educational Evaluation,hybrid,2023-06-01,Elsevier BV,2023,hybrid
10.1038/s44159-023-00221-9,oa repository (via OAI-PMH doi match),repository,NA,https://repository.ubn.ru.nl/bitstream/handle/2066/302160/1/302160.pdf,TRUE,publishedVersion,2,https://doi.org/10.1038/s44159-023-00221-9,journal-article,TRUE,FALSE,FALSE,FALSE,2731-0574,2731-0574,Nature Reviews Psychology,green,2023-08-22,Springer Science and Business Media LLC,2023,green
10.1186/s12909-023-04103-9,oa journal (via doaj),publisher,cc-by,https://bmcmededuc.biomedcentral.com/counter/pdf/10.1186/s12909-023-04103-9,TRUE,publishedVersion,2,https://doi.org/10.1186/s12909-023-04103-9,journal-article,TRUE,FALSE,TRUE,TRUE,1472-6920,1472-6920,BMC Medical Education,gold,2023-03-18,Springer Science and Business Media LLC,2023,gold
10.1515/mc-2023-0010,open (via page says license),publisher,cc-by,https://www.degruyter.com/document/doi/10.1515/mc-2023-0010/pdf,TRUE,publishedVersion,2,https://doi.org/10.1515/mc-2023-0010,journal-article,TRUE,FALSE,FALSE,FALSE,2230-6579,2230-6587,Multimodal Communication,hybrid,2023-01-01,Walter de Gruyter GmbH,2023,hybrid
10.1111/lang.12532,open (via crossref license),publisher,cc-by-nc,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/lang.12532,TRUE,publishedVersion,2,https://doi.org/10.1111/lang.12532,journal-article,TRUE,FALSE,FALSE,FALSE,0023-8333,"0023-8333,1467-9922",Language Learning,hybrid,2022-11-09,Wiley,2022,hybrid
10.1177/14614448231189801,open (via page says license),publisher,cc-by-nc,https://journals.sagepub.com/doi/pdf/10.1177/14614448231189801,TRUE,publishedVersion,2,https://doi.org/10.1177/14614448231189801,journal-article,TRUE,FALSE,FALSE,FALSE,1461-4448,"1461-4448,1461-7315",New Media &amp; Society,hybrid,2023-08-18,SAGE Publications,2023,hybrid
10.1080/23273798.2021.1998563,open (via crossref license),publisher,cc-by-nc-nd,https://www.tandfonline.com/doi/pdf/10.1080/23273798.2021.1998563?needAccess=true,TRUE,publishedVersion,2,https://doi.org/10.1080/23273798.2021.1998563,journal-article,TRUE,FALSE,FALSE,FALSE,2327-3798,"2327-3798,2327-3801","Language, Cognition and Neuroscience",hybrid,2021-11-15,Informa UK Limited,2021,hybrid
10.5220/0011981800003470,open (via page says license),publisher,cc-by-nc-nd,https://doi.org/10.5220/0011981800003470,TRUE,publishedVersion,2,https://doi.org/10.5220/0011981800003470,proceedings-article,TRUE,FALSE,FALSE,FALSE,NA,NA,Proceedings of the 15th International Conference on Computer Supported Education,hybrid,2023-01-01,SCITEPRESS - Science and Technology Publications,2023,hybrid
10.1111/cogs.13228,open (via crossref license),publisher,cc-by,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/cogs.13228,TRUE,publishedVersion,2,https://doi.org/10.1111/cogs.13228,journal-article,TRUE,FALSE,FALSE,FALSE,0364-0213,"0364-0213,1551-6709",Cognitive Science,hybrid,2023-01-01,Wiley,2023,hybrid
10.1111/cogs.13387,oa repository (via OAI-PMH title and first author match),repository,NA,https://psyarxiv.com/t3s6c/download,TRUE,submittedVersion,2,https://doi.org/10.1111/cogs.13387,journal-article,TRUE,FALSE,FALSE,FALSE,0364-0213,"0364-0213,1551-6709",Cognitive Science,green,2023-11-01,Wiley,2023,green
