PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
S	Crasborn, O; van der Kooij, E		VanDeWeijer, J		Crasborn, Onno; van der Kooij, Els			The Emergence of the Second Hand in Sign Language Phonology: From Underlying to Surface Representations	REPRESENTING PHONOLOGICAL DETAIL, PT 2: Syllable, Stress, and Sign	Phonology and Phonetics		English	Article; Book Chapter						sign language; feature spreading; two-handed signs; non-dominant hand; underlying and surface representation; phonetic implementation; Sign Language of the Netherlands (NGT)	PROSODY	On the basis of corpus data of Sign Language of the Netherlands (NGT), we examine a number of issues related to the use of the non-dominant hand in signed language discourse. The prolongation of the final state of one hand of a two-handed sign while the other hand continues to produce other linguistic material (a ' hold') has been analysed in the literature as a prime piece of evidence for the presence of prosodic domains such as the phonological phrase in the organisation of sign languages. It thus provided evidence for a prosodic level of organisation more generally. It was not clear in those studies, however, how these prosodic phenomena can be represented and how they relate to the underlying lexical form of signs. We propose a representation with three levels: lexical, surface level spell-out and post-lexical. An underlying lexical representation itself (such as provided by the Dependency Model of signs that we use here) cannot handle phenomena such as spreading across multiple lexical items. For these phenomena, an intermediate surface level is needed, to connect the underlying representation to the linear surface form (syllables) holding the spell-out of underlying features. The surface level spell-out in turn is integrated into the prosodic structure of the sequences of signs, where postlexical phenomena such as (meaningful or purely prosodic) spreading across signs and phrases occur. With regards to the second hand, the underlying lexical representation does not distinguish two independent articulators. A spell out process is needed to determine the dominant hand, as well as the position of the selected fingers, the orientation, and other features of the weak hand. Our overall conclusion is that: a) the prolonged presence of the non- dominant hand can indeed be seen as a phonological process; b) this process can be analysed in terms of spreading of features and feature clusters of manual signs; and c) other surface phenomena (such as cross-articulator assimilation or 'echoing') can also be analysed as feature spreading, and in that sense are not fundamentally different from full holds. Thus, by creating an explicit multi-layered formal representation, heterogeneous post-lexical phenomena such as buoys, prosodic spreading, weak prop and manual 'echoes' can be analysed in a unified manner. Our analysis strengthens the view of signed and spoken languages being similar even in the domain of post-lexical phonology, where at first sight the modality-specific phonetic differences in the surface form appear to be substantial.	[Crasborn, Onno; van der Kooij, Els] Radboud Univ Nijmegen, Ctr Language Studies, Nijmegen, Netherlands	Radboud University Nijmegen	Crasborn, O (corresponding author), Radboud Univ Nijmegen, Ctr Language Studies, Nijmegen, Netherlands.								39	2	2	0	0	DE GRUYTER MOUTON	BERLIN 11	GENTHINER STR 13, POSTF 110240, W-1000 BERLIN 11, GERMANY	1861-4191		978-3-11-073008-1; 978-3-11-073502-4	PHONOL PHONET			2023	33		2				319	344		10.1515/9783110730081-016	http://dx.doi.org/10.1515/9783110730081-016	10.1515/9783110730081		26	Linguistics; Language & Linguistics	Book Citation Index – Social Sciences & Humanities (BKCI-SSH)	Linguistics	BW5PC					2024-03-15	WOS:001164373800017
J	van Putten, S				van Putten, Saskia			Tutrugbu (Nyangbo) language and culture	JOURNAL OF AFRICAN LANGUAGES AND LINGUISTICS			English	Book Review									[van Putten, Saskia] Radboud Univ Nijmegen, Ctr Language Studies, Nijmegen, Netherlands	Radboud University Nijmegen	van Putten, S (corresponding author), Radboud Univ Nijmegen, Ctr Language Studies, Nijmegen, Netherlands.	saskia.vanputten2@ru.nl							1	0	0	0	2	DE GRUYTER MOUTON	BERLIN	GENTHINER STRASSE 13, 10785 BERLIN, GERMANY	0167-6164	1613-3811		J AFR LANG LINGUIST	J. Afr. Lang. Linguist.	MAY	2021	42	1					155	158		10.1515/jall-2021-2019	http://dx.doi.org/10.1515/jall-2021-2019			4	Linguistics; Language & Linguistics	Social Science Citation Index (SSCI); Arts &amp; Humanities Citation Index (A&amp;HCI)	Linguistics	WH1YS		hybrid			2024-03-15	WOS:000707483000006
J	Schoonen, R				Schoonen, Rob			Are reading and writing building on the same skills? The relationship between reading and writing in L1 and EFL	READING AND WRITING			English	Article						Reading; Writing; Relationship reading-writing; Subskills	LINGUISTIC KNOWLEDGE; GRADES 1; COMPREHENSION; LANGUAGE; ACQUISITION; PROFICIENCY; COMPONENTS; FLUENCY; SPEED	This article investigates the relationship between reading and writing. We assume that these skills share a number of subskills as can be inferred from models of reading and writing. A set of these subskills are studied for the extent to which they can explain the common variance (correlation) between reading and writing. Data from a sample of Dutch students performing reading and writing tasks in Dutch and English as a foreign language, as well as tests for various Dutch and English subskills, both declarative knowledge and processing fluency, were analyzed using structural equation modeling to estimate residual correlations between reading and writing, controlling for subskills. Results show that declarative linguistic knowledge is a more likely source for the common variance between reading and writing than processing fluency, and the subskills seem to play a larger role in EFL reading and writing than in L1 reading and writing. However, the EFL patterns seem to develop in the direction of the L1 results in the course of three grades.	[Schoonen, Rob] Radboud Univ Nijmegen, Ctr Language Studies, POB 9103, NL-6500 HD Nijmegen, Netherlands	Radboud University Nijmegen	Schoonen, R (corresponding author), Radboud Univ Nijmegen, Ctr Language Studies, POB 9103, NL-6500 HD Nijmegen, Netherlands.	r.schoonen@let.ru.nl			Netherlands Organisation for Scientific Research (NWO) [NWO 575-36-001]	Netherlands Organisation for Scientific Research (NWO)(Netherlands Organization for Scientific Research (NWO))	The author wishes to thank the researchers on the NELSON project for providing the data: Kees de Glopper, Jan Hulstijn, Amos van Gelderen, Marie Stevenson, Patrick Snellings and Annegien Simis, and Kristopher Preacher for statistical advice on the SEM analyses, and two anonymous reviewers for their suggestions. All remaining errors are the author's. The Nelson project was funded by the Netherlands Organisation for Scientific Research (NWO), Grant NWO 575-36-001.		55	25	34	18	83	SPRINGER	DORDRECHT	VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS	0922-4777	1573-0905		READ WRIT	Read. Writ.	MAR	2019	32	3					511	535		10.1007/s11145-018-9874-1	http://dx.doi.org/10.1007/s11145-018-9874-1			25	Education & Educational Research; Psychology, Educational	Social Science Citation Index (SSCI)	Education & Educational Research; Psychology	HO7DT		Green Published, hybrid			2024-03-15	WOS:000461096600001
J	van Hekken, A; Das, E				van Hekken, Annemarie; Das, Enny			Getting the picture: A visual metaphor increases the effectiveness of retirement communication	FUTURES			English	Article						Scenario; Planning; Uncertainty; Retirement; Metaphor	DUAL CODING THEORY; INFORMATION; PREDICTORS; COMPLEX; JOURNEY; MODELS; CANCER	Citizens who accrue pension via defined benefit systems, do not always have a correct idea of how the concept of retirement accrual works. Basic understanding of the pension system is desirable as incorrect conceptions affect the attitude towards retirement and planning for retirement. Visuals, specifically visual metaphors, help to understand abstract concepts. In this study, we tested whether information on pension accrual, with a visual expressing a navigation metaphor, better communicates the basics of pension accrual, compared to information with a simple visual or a plain text version. Sixteen pension funds and 5449 respondents participated in the study. Results show that the navigation metaphor conveyed the best the concept that the future income gradually grows, and that the expected amount has not yet been granted. Conveying the gradual growth on its turn positively impacted efficacy beliefs with regard to checking the adequacy of the accrual and the attitude towards retirement. Findings suggest that the navigation metaphor functions as an organising principle that increases the effectiveness of retirement communication.	[van Hekken, Annemarie; Das, Enny] Radboud Univ Nijmegen, Ctr Language Studies, POB 9103, NL-6500 HD Nijmegen, Netherlands	Radboud University Nijmegen	van Hekken, A (corresponding author), Rijsdijk 36, NL-3161 HP Rhoon, Netherlands.	hekwerk@planet.nl		Das, Enny/0000-0002-0367-6757					64	3	3	0	5	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	0016-3287	1873-6378		FUTURES	Futures	MAR	2019	107						59	73		10.1016/j.futures.2018.11.002	http://dx.doi.org/10.1016/j.futures.2018.11.002			15	Economics; Regional & Urban Planning	Social Science Citation Index (SSCI)	Business & Economics; Public Administration	HQ0UP					2024-03-15	WOS:000462110800005
J	Mulder, G; Schoenmakers, GJ; Hoenselaar, O; de Hoop, H				Mulder, Gijs; Schoenmakers, Gert-Jan; Hoenselaar, Olaf; de Hoop, Helen			Tense and Aspect in a Spanish Literary Work and Its Translations	LANGUAGES			English	Article						literary corpus; grammatical tenses; present perfect; simple past; narration; dialogue; markedness	PRESENT PERFECT; GRAMMATICALIZATION	This paper reports on a literary corpus study of four grammatical tenses across four European languages. The corpus consists of a selection of eight chapters from Javier Marias's Spanish novel Asi empieza lo malo 'Thus bad begins', and its translations to English, Dutch, and French. We annotated 1579 verb forms in the Spanish source text for tense, and, subsequently, their translations in the other languages, distinguishing between two registers within the novel, i.e., dialogue and narration. We found that the vast majority of the Spanish tenses are translated one-to-one to their counterparts in the three languages, especially in narration. In dialogue, we found several deviations, which we could partially account for within an Optimality Theoretic approach by appealing to the notion of markedness along two different typological dimensions, namely, tense (present versus past) and aspect (imperfective versus perfective).	[Mulder, Gijs; Schoenmakers, Gert-Jan; Hoenselaar, Olaf; de Hoop, Helen] Radboud Univ Nijmegen, Ctr Language Studies, NL-6500 HD Nijmegen, Netherlands	Radboud University Nijmegen	de Hoop, H (corresponding author), Radboud Univ Nijmegen, Ctr Language Studies, NL-6500 HD Nijmegen, Netherlands.	helen.dehoop@ru.nl	Schoenmakers, Gert-Jan/AGN-6854-2022	Schoenmakers, Gert-Jan/0000-0002-0666-6001					55	0	0	0	1	MDPI	BASEL	ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND		2226-471X		LANGUAGES-BASEL	Languages-Basel	SEP	2022	7	3							217	10.3390/languages7030217	http://dx.doi.org/10.3390/languages7030217			23	Linguistics; Language & Linguistics	Emerging Sources Citation Index (ESCI)	Linguistics	4R5FR		gold, Green Published			2024-03-15	WOS:000856790300001
J	Das, E; Peters, J				Das, Enny; Peters, Judith			"They Never Really Leave Us": Transcendent Narratives About Loss Resonate With the Experience of Severe Grief	HUMAN COMMUNICATION RESEARCH			English	Article						Narratives; Transcendence; Grief; Bereavement; Identification; Transportation; Appreciation; Elevation; Connectedness	MEDIA EXPERIENCES; COMPLICATED GRIEF; CONTINUING BONDS; ENTERTAINMENT; HEALTH; DEATH; IDENTIFICATION; SPIRITUALITY; PERSUASION; GRATIFICATIONS	Self-transcendent media experiences can instill a sense of connectedness, the sense of being part of a bigger whole. Proposing that this experience is relevant for people who have lost a loved one, the present research examined processing and effects of transcendent narratives of loss among the bereaved. Study 1 (N = 1,012) examined if personal experience with loss (grief severity, loss acceptance) increased mixed affect, transportation, identification, and appreciation of narratives of loss with, and without a reference to transcendence; Study 2 (N = 240) examined effects on elevation and connectedness. Findings showed that transcendent narratives of loss increased transportation, identification, and story appreciation especially for individuals with severe grief. Conversely, transcendent narratives of loss increased elevation, and connectedness especially for individuals with low grief. Findings suggest that transcendent narratives of loss resonate with severe personal grief. We found no evidence that a transcendent perspective on death reflects difficulty in accepting one's personal loss.	[Das, Enny; Peters, Judith] Radboud Univ Nijmegen, Ctr Language Studies, NL-6500 HD Nijmegen, Netherlands	Radboud University Nijmegen	Das, E (corresponding author), Radboud Univ Nijmegen, Ctr Language Studies, NL-6500 HD Nijmegen, Netherlands.	enny.das@ru.nl		Das, Enny/0000-0002-0367-6757	Dutch Research Council [Nederlandse Organisatie voor Wetenschappelijk Onderzoek] [406.18.SW.039]	Dutch Research Council [Nederlandse Organisatie voor Wetenschappelijk Onderzoek]	Study 2 was supported by the Dutch Research Council [Nederlandse Organisatie voor Wetenschappelijk Onderzoek], grant number 406.18.SW.039.		64	5	5	4	17	OXFORD UNIV PRESS INC	CARY	JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA	0360-3989	1468-2958		HUM COMMUN RES	Hum. Commun. Res.	MAR 23	2022	48	2					320	345		10.1093/hcr/hqac001	http://dx.doi.org/10.1093/hcr/hqac001		FEB 2022	26	Communication	Social Science Citation Index (SSCI)	Communication	ZY4UT		Green Published, hybrid			2024-03-15	WOS:000764004500001
C	Merkx, D; Frank, SL; Ernestus, M			Int Speech Commun Assoc	Merkx, Danny; Frank, Stefan L.; Ernestus, Mirjam			Semantic sentence similarity: size does not always matter	INTERSPEECH 2021	Interspeech		English	Proceedings Paper	Interspeech Conference	AUG 30-SEP 03, 2021	Brno, CZECH REPUBLIC			speech recognition; multimodal embeddings; computational linguistics; deep learning; sentence semantics		This study addresses the question whether visually grounded speech recognition (VGS) models learn to capture sentence semantics without access to any prior linguistic knowledge. We produce synthetic and natural spoken versions of a well known semantic textual similarity database and show that our VGS model produces embeddings that correlate well with human semantic similarity judgements. Our results show that a model trained on a small image-caption database outperforms two models trained on much larger databases, indicating that database size is not all that matters. We also investigate the importance of having multiple captions per image and find that this is indeed helpful even if the total number of images is lower, suggesting that paraphrasing is a valuable learning signal. While the general trend in the field is to create ever larger datasets to train models on, our findings indicate other characteristics of the database can just as important important.	[Merkx, Danny; Frank, Stefan L.; Ernestus, Mirjam] Radboud Univ Nijmegen, Ctr Language Studies, Nijmegen, Netherlands	Radboud University Nijmegen	Merkx, D (corresponding author), Radboud Univ Nijmegen, Ctr Language Studies, Nijmegen, Netherlands.	danny.merkx@ru.nl; s.frank@let.ru.nl; m.ernestus@let.ru.nl	Ernestus, Mirjam/E-4344-2010	Merkx, Danny/0000-0002-5829-5214	Netherlands Organisation for Scientific Research (NWO) Gravitation Grant [024.001.006]	Netherlands Organisation for Scientific Research (NWO) Gravitation Grant(Netherlands Organization for Scientific Research (NWO))	The research presented here was funded by the Netherlands Organisation for Scientific Research (NWO) Gravitation Grant 024.001.006 to the Language in Interaction Consortium.		26	1	1	1	1	ISCA-INT SPEECH COMMUNICATION ASSOC	BAIXAS	C/O EMMANUELLE FOXONET, 4 RUE DES FAUVETTES, LIEU DIT LOUS TOURILS, BAIXAS, F-66390, FRANCE	2308-457X			INTERSPEECH			2021							4393	4397		10.21437/Interspeech.2021-1464	http://dx.doi.org/10.21437/Interspeech.2021-1464			5	Audiology & Speech-Language Pathology; Computer Science, Artificial Intelligence; Computer Science, Software Engineering	Conference Proceedings Citation Index - Science (CPCI-S)	Audiology & Speech-Language Pathology; Computer Science	BT6JK		Green Submitted			2024-03-15	WOS:000841879504097
J	van Krieken, K; Sanders, J				van Krieken, Kobie; Sanders, Jose			What is narrative journalism? A systematic review and an empirical agenda	JOURNALISM			English	Review						Genre; literary journalism; narrative journalism; news narrative; storytelling; subjectivity; systematic review	LITERARY JOURNALISM; CLIMATE-CHANGE; NEWS MEDIA; STORIES; FORMS; ADAPTATION; STRATEGIES; ETHICS; TRUST; SOUTH	This article reviews scientific research on narrative journalism, aiming to (1) demystify the nature of narrative journalism by specifying its core characteristics, resulting in a sustainable definition of the genre; (2) characterize the current state of the scientific field; and (3) identify gaps in our knowledge about narrative journalism. A systematic search of the scientific literature between 1998 and 2017 resulted in a set of 103 journal articles about narrative journalism. Their analysis reveals that the scientific field is dominated by essayistic and qualitative studies on printed forms of narrative journalism, with a focus on the history and style of narrative journalism, whereas systematic research on the function and impact of the genre is scarce. A framework is presented that synthesizes the hitherto isolated strands of research on narrative journalism and offers anchors for an empirical turn in narrative journalism studies.	[van Krieken, Kobie] Radboud Univ Nijmegen, Commun & Informat Studies, Ctr Language Studies, Nijmegen, Netherlands; [Sanders, Jose] Radboud Univ Nijmegen, Narrat Commun, CLS, Nijmegen, Netherlands	Radboud University Nijmegen; Radboud University Nijmegen	van Krieken, K (corresponding author), Radboud Univ Nijmegen, Ctr Language Studies, POB 9103, NL-6500 HD Nijmegen, Netherlands.	k.vankrieken@let.ru.nl		van Krieken, Kobie/0000-0002-8578-9850	Innovational Research Incentives Scheme VENI grant from the Netherlands Organization for Scientific Research (NWO) [275-89-038]	Innovational Research Incentives Scheme VENI grant from the Netherlands Organization for Scientific Research (NWO)(Netherlands Organization for Scientific Research (NWO))	The author(s) disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: This research was supported by an Innovational Research Incentives Scheme VENI grant from the Netherlands Organization for Scientific Research (NWO; project number 275-89-038) awarded to K.v.K.		73	24	25	15	79	SAGE PUBLICATIONS INC	THOUSAND OAKS	2455 TELLER RD, THOUSAND OAKS, CA 91320 USA	1464-8849	1741-3001		JOURNALISM	Journalism	JUN	2021	22	6					1393	1412	1464884919862056	10.1177/1464884919862056	http://dx.doi.org/10.1177/1464884919862056		JUL 2019	20	Communication	Social Science Citation Index (SSCI)	Communication	SF5ZJ		Green Published, hybrid			2024-03-15	WOS:000475058900001
C	Merkx, D; Scharenborg, O			Int Speech Commun Assoc	Merkx, Danny; Scharenborg, Odette			Articulatory Feature Classification Using Convolutional Neural Networks	19TH ANNUAL CONFERENCE OF THE INTERNATIONAL SPEECH COMMUNICATION ASSOCIATION (INTERSPEECH 2018), VOLS 1-6: SPEECH RESEARCH FOR EMERGING MARKETS IN MULTILINGUAL SOCIETIES	Interspeech		English	Proceedings Paper	19th Annual Conference of the International-Speech-Communication-Association (INTERSPEECH 2018)	AUG 02-SEP 06, 2018	Hyderabad, INDIA	Int Speech Commun Assoc		Articulatory Features; Convolutional Deep Neural Networks; Mel Filtering	INFORMATION	The ultimate goal of our research is to improve an existing speech-based computational model of human speech recognition on the task of simulating the role of fine-grained phonetic information in human speech processing. As part of this work we are investigating articulatory feature classifiers that are able to create reliable and accurate transcriptions of the articulatory behaviour encoded in the acoustic speech signal. Articulatory feature (AF) modelling of speech has received a considerable amount of attention in automatic speech recognition research. Different approaches have been used to build AF classifiers, most notably multi-layer perceptrons. Recently, deep neural networks have been applied to the task of AF classification. This paper aims to improve AF classification by investigating two different approaches: 1) investigating the usefulness of a deep Convolutional neural network (CNN) for AF classification; 2) integrating the Mel filtering operation into the CNN architecture. The results showed a remarkable improvement in classification accuracy of the CNNs over state-of-the-art AF classification results for Dutch, most notably in the minority classes. Integrating the Mel filtering operation into the CNN architecture did not further improve classification performance.	[Merkx, Danny; Scharenborg, Odette] Radboud Univ Nijmegen, Ctr Language Studies, Nijmegen, Netherlands	Radboud University Nijmegen	Merkx, D (corresponding author), Radboud Univ Nijmegen, Ctr Language Studies, Nijmegen, Netherlands.	d.merkx@let.ru.nl; o.scharenborg@let.ru.nl	Scharenborg, Odette/E-2056-2012	Merkx, Danny/0000-0002-5829-5214	NWO [276-89-003]	NWO(Netherlands Organization for Scientific Research (NWO))	This work was carried out by D. Merkx as part of an MSc project under the supervision of O. Scharenborg. O. Scharenborg was supported by a Vidi-grant from NWO (grant number: 276-89-003).		26	4	4	0	0	ISCA-INT SPEECH COMMUNICATION ASSOC	BAIXAS	C/O EMMANUELLE FOXONET, 4 RUE DES FAUVETTES, LIEU DIT LOUS TOURILS, BAIXAS, F-66390, FRANCE	2308-457X		978-1-5108-7221-9	INTERSPEECH			2018							2142	2146		10.21437/Interspeech.2018-2275	http://dx.doi.org/10.21437/Interspeech.2018-2275			5	Computer Science, Artificial Intelligence; Computer Science, Theory & Methods; Engineering, Electrical & Electronic	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science; Engineering	BM5PH					2024-03-15	WOS:000465363900449
J	Gonga, ANG; Crasborn, O; Ormel, E				Gonga, Aurelia Nana Gassa; Crasborn, Onno; Ormel, Ellen			Interference: a case study of lexical borrowings in international sign interpreting	INTERNATIONAL JOURNAL OF MULTILINGUALISM			English	Article						Interference; simultaneous interpreting; lexical borrowing; international sign	LANGUAGES	In simultaneous interpreting studies, the concept of interference - namely, the marks of the source language in the target language - is perceived as a negative phenomenon. However, interference is likely to happen at a lexical level when the target language does not have its own lexicon. This is the case in international sign (IS), which can be defined as a mix of different sign languages, in which the lexical items are not fixed. This qualitative study analyses a dataset of interpretation from Sign Language of the Netherlands (NGT) to IS by a team of two Dutch, deaf interpreters at an international conference in Nijmegen, the Netherlands. We observed the occurrence of source NGT lexical items borrowed into the IS target output and considered the strategies used in this. The phenomenon was found to be recurrent. In addition, depending upon the type of lexical items, the strategies used to borrow NGT lexicon were found to differ. Thus, we have described the set of strategies and examined the results in comparison with previous findings. As a practical output, this study could inspire current and future IS interpreters to expand their set of interpreting strategies.	[Gonga, Aurelia Nana Gassa; Crasborn, Onno; Ormel, Ellen] Radboud Univ Nijmegen, Ctr Language Studies, Nijmegen, Netherlands	Radboud University Nijmegen	Gonga, ANG (corresponding author), Radboud Univ Nijmegen, Ctr Language Studies, Nijmegen, Netherlands.	aurelia.nanagassagonga@ru.nl	Crasborn, Onno/D-2059-2010		VICI of the Dutch Research Council (NWO) [277-70-014]	VICI of the Dutch Research Council (NWO)(Netherlands Organization for Scientific Research (NWO))	This work was supported by VICI grant no. 277-70-014 of the Dutch Research Council (NWO), awarded to Onno Crasborn.		34	0	0	3	5	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND	1479-0718	1747-7530		INT J MULTILING	Int. J. Multiling.	JAN 2	2024	21	1					169	188		10.1080/14790718.2022.2074999	http://dx.doi.org/10.1080/14790718.2022.2074999		JUN 2022	20	Education & Educational Research; Linguistics; Language & Linguistics	Social Science Citation Index (SSCI); Arts &amp; Humanities Citation Index (A&amp;HCI)	Education & Educational Research; Linguistics	IH8V1		Green Published, hybrid			2024-03-15	WOS:000808163100001
B	Hornikx, J; van Meurs, F	Hornikx, J; VanMeurs, F			Hornikx, Jos; van Meurs, Frank	Hornikx, J; VanMeurs, F		Foreign Languages in Advertising Linguistic and Marketing Perspectives Introduction	FOREIGN LANGUAGES IN ADVERTISING: LINGUISTIC AND MARKETING PERSPECTIVES			English	Editorial Material; Book Chapter							PERCEPTIONS; BRAND; BILINGUALS; STRATEGIES		[Hornikx, Jos; van Meurs, Frank] Radboud Univ Nijmegen, Ctr Language Studies, Nijmegen, Netherlands	Radboud University Nijmegen	Hornikx, J (corresponding author), Radboud Univ Nijmegen, Ctr Language Studies, Nijmegen, Netherlands.								73	0	0	0	1	PALGRAVE MACMILLAN	LONDON	4 CRINAN ST, LONDON, LONDON, ENGLAND			978-3-030-31691-4; 978-3-030-31690-7				2020							3	24		10.1007/978-3-030-31691-4_1	http://dx.doi.org/10.1007/978-3-030-31691-4_1	10.1007/978-3-030-31691-4		22	Business; Communication; Language & Linguistics	Book Citation Index – Social Sciences & Humanities (BKCI-SSH)	Business & Economics; Communication; Linguistics	BR3OA					2024-03-15	WOS:000648522500003
B	Hornikx, J; van Meurs, F	Hornikx, J; VanMeurs, F			Hornikx, Jos; van Meurs, Frank	Hornikx, J; VanMeurs, F		Foreign Language Display	FOREIGN LANGUAGES IN ADVERTISING: LINGUISTIC AND MARKETING PERSPECTIVES			English	Article; Book Chapter							COUNTRY-OF-ORIGIN; BRAND NAMES; ENGLISH; CONSUMERS; PERCEPTIONS; RELEVANCE; CURIOSITY; IMAGE; METAANALYSIS; RECOGNITION		[Hornikx, Jos; van Meurs, Frank] Radboud Univ Nijmegen, Ctr Language Studies, Nijmegen, Netherlands	Radboud University Nijmegen	Hornikx, J (corresponding author), Radboud Univ Nijmegen, Ctr Language Studies, Nijmegen, Netherlands.								97	0	0	0	0	PALGRAVE MACMILLAN	LONDON	4 CRINAN ST, LONDON, LONDON, ENGLAND			978-3-030-31691-4; 978-3-030-31690-7				2020							57	94		10.1007/978-3-030-31691-4_3	http://dx.doi.org/10.1007/978-3-030-31691-4_3	10.1007/978-3-030-31691-4		38	Business; Communication; Language & Linguistics	Book Citation Index – Social Sciences & Humanities (BKCI-SSH)	Business & Economics; Communication; Linguistics	BR3OA					2024-03-15	WOS:000648522500006
C	Berns, J; Jacobs, H; Nouveau, D		Berns, J; Jacobs, H; Nouveau, D		Berns, Janine; Jacobs, Haike; Nouveau, Dominique			Romance Languages and Linguistic Theory 13 Selected papers from 'Going Romance' 29, Nijmegen Introduction	ROMANCE LANGUAGES AND LINGUISTIC THEORY 13	Romance Languages and Linguistic Theory		English	Proceedings Paper	29th Going Romance Conference	DEC 10-12, 2015	Nijmegen, NETHERLANDS	Radboud Univ, Ctr Language Studies					[Berns, Janine; Jacobs, Haike; Nouveau, Dominique] Radboud Univ Nijmegen, Ctr Language Studies, Nijmegen, Netherlands	Radboud University Nijmegen	Berns, J (corresponding author), Radboud Univ Nijmegen, Ctr Language Studies, Nijmegen, Netherlands.				Centre for Language Studies; International Office of the Radboud University	Centre for Language Studies; International Office of the Radboud University	For their invaluable help in the review processes, we would like to express our gratitude (in alphabetical order) to the following colleagues: Roberta d'Allesandro, Sergio Baauw, Barbara Bullock, Bert Le Bruyn, Joao Costa, Jenny Doetjes, Frank Drijkoningen, Ad Foolen, Helen de Hoop, Roeland van Hout, Pablo Irizarri van Suchtelen, Ans van Kemenade, Ellen-Petra Kester, Olaf Koeneman, Erwin Komen, Sander Lestrade, Juana Liceras, Gijs Mulder, Pieter Muysken, Manuela Pinto, Claudia Pons-Moll, Johan Rooryck, Christina Schmitt, Petra Sleeman, Peter de Swart, Henriette de Swart, and last but not least, Christina Tortora. Finally, we wish to thank the Centre for Language Studies and the International Office of the Radboud University for their generous financial support.		0	0	0	0	0	JOHN BENJAMINS B V PUBL	AMSTERDAM ME	PO BOX 36224, 1020 AMSTERDAM ME, NETHERLANDS	1574-552X		978-90-272-6415-2; 978-90-272-0065-5	ROMAN LANG LINGUIST			2018	13						1	4		10.1075/rllt.13.01ber	http://dx.doi.org/10.1075/rllt.13.01ber			4	Linguistics	Conference Proceedings Citation Index - Social Science &amp; Humanities (CPCI-SSH)	Linguistics	BQ5FP					2024-03-15	WOS:000604888300001
J	Nederstigt, U; Hilberink-Schulpen, B				Nederstigt, Ulrike; Hilberink-Schulpen, Beryl			Attention to multilingual job ads: an eye-tracking study on the use of English in German job ads	FOLIA LINGUISTICA			English	Article						attention; English loanwords; eye-tracking; job ads; multilingual ads	ADVERTISEMENTS; 2ND-LANGUAGE; RECOGNITION; MOVEMENTS; DUTCH	In many non-English-speaking countries, English loanwords in job ads seem to be very common. The question is whether this linguistic choice is advantageous, especially when the job advertised does not involve working in an international environment. Previous research of English loanwords in job ads has revealed that their effect in terms of the evaluation of the company, the job and the ad is limited if effects can be shown at all. Suggestions that English loanwords draw readers' attention because this language choice deviates from what readers expect and, in addition, take more processing time (because they are foreign) lack empirical evidence. The eye-tracking and behavioural data of our experiment did not provide any empirical evidence for the attention-drawing function of English loanwords nor an influence on their effectiveness in job ads geared to graduate students in Germany. We suggest that loanwords need a certain amount of processing to be identified as foreign. This means they are different from other salient cues that were shown to draw readers' attention because they are not subject to automatic processes. In addition, our participants were sufficiently proficient in English so that differences in processing time were not reflected in their eye-movement data.	[Nederstigt, Ulrike] Radboud Univ Nijmegen, Ctr Language Studies, Dept Language & Commun, Postbus 9103, NL-6500 HD Nijmegen, Netherlands; [Hilberink-Schulpen, Beryl] Radboud Univ Nijmegen, Ctr Language Studies, Dept Language & Commun, Nijmegen, Netherlands	Radboud University Nijmegen; Radboud University Nijmegen	Nederstigt, U (corresponding author), Radboud Univ Nijmegen, Ctr Language Studies, Dept Language & Commun, Postbus 9103, NL-6500 HD Nijmegen, Netherlands.	ulrike.nederstigt@ru.nl; beryl.hilberink@ru.nl		Hilberink-Schulpen, Beryl/0000-0002-7355-4712					77	0	0	1	2	WALTER DE GRUYTER GMBH	BERLIN	GENTHINER STRASSE 13, D-10785 BERLIN, GERMANY	0165-4004	1614-7308		FOLIA LINGUIST	Folia Linguist.	NOV 27	2023	57	2					313	343		10.1515/flin-2023-2015	http://dx.doi.org/10.1515/flin-2023-2015		MAY 2023	31	Linguistics; Language & Linguistics	Social Science Citation Index (SSCI); Arts &amp; Humanities Citation Index (A&amp;HCI)	Linguistics	N6GJ8		Green Published, hybrid			2024-03-15	WOS:000985355500001
